"GISJOIN","Geography","Y90Total","Y90A25to44","Y90A25to59","Y00Total","Y00A25to44","Y00A25to59","Y10total","Y10A25to44","Y10A25to59","place"
"G08020440","Dillon town, Colorado",553,235,303,802,314,471,904,291,511,"20440"
"G08020495","Dinosaur town, Colorado",324,100,145,319,85,145,339,79,154,"20495"
"G08020605","Divide CDP, Colorado",NA,NA,NA,NA,NA,NA,127,26,70,"20605"
"G08020770","Dolores town, Colorado",866,275,371,857,224,390,936,243,460,"20770"
"G08021155","Dotsero CDP, Colorado",NA,NA,NA,NA,NA,NA,705,230,328,"21155"
"G08021265","Dove Creek town, Colorado",643,186,287,698,170,295,735,173,320,"21265"
"G08021330","Dove Valley CDP, Colorado",NA,NA,NA,NA,NA,NA,5243,2356,2970,"21330"
"G08021390","Downieville-Lawson-Dumont CDP, Colorado",NA,NA,NA,364,111,204,594,165,312,"21390"
"G08022035","Durango city, Colorado",12430,3673,4983,13922,3793,6168,16887,4918,8033,"22035"
"G08022145","Eads town, Colorado",780,211,305,747,180,324,609,118,255,"22145"
"G08022200","Eagle town, Colorado",1580,684,840,3032,1237,1731,6508,2328,3551,"22200"
"G08022575","East Pleasant View CDP, Colorado",NA,NA,NA,369,117,181,356,83,195,"22575"
"G08022860","Eaton town, Colorado",1959,614,856,2690,715,1282,4365,1112,1987,"22860"
"G08023025","Eckley town, Colorado",211,60,93,278,81,107,257,63,126,"23025"
"G08023135","Edgewater city, Colorado",4613,1660,2213,5445,1901,2746,5170,1753,2700,"23135"
"G08023300","Edwards CDP, Colorado",NA,NA,NA,8257,3339,4904,10266,3534,5639,"23300"
"G08023520","Elbert CDP, Colorado",NA,NA,NA,NA,NA,NA,230,50,111,"23520"
"G08023575","Eldora CDP, Colorado",NA,NA,NA,170,86,125,142,46,98,"23575"
"G08023630","Eldorado Springs CDP, Colorado",NA,NA,NA,557,198,360,585,136,320,"23630"
"G08023740","Elizabeth town, Colorado",818,281,384,1434,523,730,1358,399,695,"23740"
"G08023795","El Jebel CDP, Colorado",2605,1225,1445,4488,1717,2573,3801,1165,2078,"23795"
"G08024235","Ellicott CDP, Colorado",NA,NA,NA,NA,NA,NA,1131,285,514,"24235"
"G08024290","El Moro CDP, Colorado",NA,NA,NA,NA,NA,NA,221,34,100,"24290"
"G08024620","Empire town, Colorado",401,171,214,355,109,213,282,63,169,"24620"
"G08024785","Englewood city, Colorado",29387,10921,14413,31727,11394,16731,30255,9867,16572,"24785"
"G08024950","Erie town, Colorado",1258,469,640,6291,2755,3727,18135,6029,9886,"24950"
"G08025115","Estes Park town, Colorado",3184,902,1465,5413,1440,2688,5858,1120,2528,"25115"
"G08025280","Evans city, Colorado",5877,2169,2707,9514,3077,4310,18537,5870,8539,"25280"
"G08025390","Evergreen CDP, Colorado",7582,2841,4374,9216,2727,5238,9038,1825,4518,"25390"
"G08025550","Fairmount CDP, Colorado",NA,NA,NA,NA,NA,NA,7559,1645,3913,"25550"
"G08025610","Fairplay town, Colorado",387,147,212,610,229,368,679,195,380,"25610"
"G08026270","Federal Heights city, Colorado",9342,3131,4272,12065,3807,5510,11467,3393,5286,"26270"
"G08026600","Firestone town, Colorado",1358,493,657,1908,660,1016,10147,3421,5207,"26600"
"G08026765","Flagler town, Colorado",564,150,235,612,142,260,561,104,243,"26765"
"G08026875","Fleming town, Colorado",344,81,129,426,98,175,408,95,178,"26875"
"G08027040","Florence city, Colorado",2990,676,1143,3653,1018,1649,3881,881,1679,"27040"
"G08027095","Florissant CDP, Colorado",NA,NA,NA,NA,NA,NA,104,26,50,"27095"
"G08027175","Floyd Hill CDP, Colorado",NA,NA,NA,NA,NA,NA,998,247,575,"27175"
"G08027370","Fort Carson CDP, Colorado",11309,3747,3830,10566,3610,3735,13813,4451,4641,"27370"
"G08027425","Fort Collins city, Colorado",87758,30960,39727,118652,37392,55030,143986,41685,66013,"27425"
