"GISJOIN","Geography","Y90Total","Y90A25to44","Y90A25to59","Y00Total","Y00A25to44","Y00A25to59","Y10total","Y10A25to44","Y10A25to59","place"
"G08057630","Parker town, Colorado",5450,2690,3122,23558,10216,13417,45297,15405,24054,"57630"
"G08057850","Parshall CDP, Colorado",NA,NA,NA,NA,NA,NA,47,10,30,"57850"
"G08058235","Peetz town, Colorado",179,47,72,227,60,90,238,42,103,"58235"
"G08058400","Penrose CDP, Colorado",2235,688,1064,4070,1101,2061,3582,719,1719,"58400"
"G08058510","Peoria CDP, Colorado",NA,NA,NA,NA,NA,NA,163,42,83,"58510"
"G08058592","Perry Park CDP, Colorado",NA,NA,NA,1180,251,667,1646,211,782,"58592"
"G08058675","Peyton CDP, Colorado",NA,NA,NA,NA,NA,NA,250,65,120,"58675"
"G08058758","Phippsburg CDP, Colorado",NA,NA,NA,NA,NA,NA,204,57,114,"58758"
"G08058960","Piedra CDP, Colorado",NA,NA,NA,NA,NA,NA,28,7,18,"58960"
"G08059005","Pierce town, Colorado",823,262,366,884,282,431,834,180,392,"59005"
"G08059240","Pine Brook Hill CDP, Colorado",NA,NA,NA,NA,NA,NA,983,165,462,"59240"
"G08059830","Pitkin town, Colorado",53,24,38,124,29,65,66,5,37,"59830"
"G08060160","Platteville town, Colorado",1515,475,711,2370,765,1123,2485,686,1183,"60160"
"G08060600","Poncha Springs town, Colorado",244,75,127,466,127,222,737,187,370,"60600"
"G08060655","Ponderosa Park CDP, Colorado",1640,694,921,3112,1077,1818,3232,643,1776,"60655"
"G08060765","Portland CDP, Colorado",NA,NA,NA,NA,NA,NA,135,27,67,"60765"
"G08061315","Pritchett town, Colorado",153,32,54,137,37,60,140,33,62,"61315"
"G08062000","Pueblo city, Colorado",98640,28872,42468,102121,27146,44908,106595,25823,46963,"62000"
"G08062220","Pueblo West CDP, Colorado",4386,1391,2211,16899,5460,8536,29637,7609,13854,"62220"
"G08062660","Ramah town, Colorado",94,28,47,117,24,56,123,33,72,"62660"
"G08062880","Rangely town, Colorado",2278,782,1070,2096,620,975,2365,601,1107,"62880"
"G08063045","Raymer (New Raymer) town, Colorado",98,31,44,91,19,34,96,17,43,"63045"
"G08063265","Red Cliff town, Colorado",297,116,151,289,106,150,267,102,164,"63265"
"G08063320","Red Feather Lakes CDP, Colorado",NA,NA,NA,525,98,243,343,32,137,"63320"
"G08063375","Redlands CDP, Colorado",9355,2730,4611,8043,1666,3737,8685,1422,3756,"63375"
"G08063650","Redstone CDP, Colorado",NA,NA,NA,NA,NA,NA,130,26,72,"63650"
"G08063705","Redvale CDP, Colorado",NA,NA,NA,NA,NA,NA,236,64,117,"63705"
"G08064090","Rico town, Colorado",92,29,49,205,104,144,265,95,164,"64090"
"G08064200","Ridgway town, Colorado",423,154,234,713,244,410,924,235,510,"64200"
"G08064255","Rifle city, Colorado",4636,1630,2172,6784,2332,3343,9172,2794,4500,"64255"
"G08064870","Rock Creek Park CDP, Colorado",NA,NA,NA,NA,NA,NA,58,6,22,"64870"
"G08064970","Rockvale town, Colorado",321,75,137,426,121,226,487,112,212,"64970"
"G08065190","Rocky Ford city, Colorado",4162,1059,1631,4286,1026,1748,3957,850,1655,"65190"
"G08065685","Rollinsville CDP, Colorado",NA,NA,NA,NA,NA,NA,181,68,119,"65685"
"G08065740","Romeo town, Colorado",341,90,134,375,105,157,404,101,175,"65740"
"G08066197","Roxborough Park CDP, Colorado",NA,NA,NA,4446,1864,2727,9099,3007,5050,"66197"
"G08066895","Rye town, Colorado",168,48,66,202,48,88,153,29,70,"66895"
"G08066995","Saddle Ridge CDP, Colorado",NA,NA,NA,NA,NA,NA,56,10,24,"66995"
"G08067005","Saguache town, Colorado",584,156,254,578,149,277,485,91,226,"67005"
"G08067040","St. Ann Highlands CDP, Colorado",NA,NA,NA,NA,NA,NA,288,79,174,"67040"
"G08067142","St. Mary's CDP, Colorado",NA,NA,NA,251,100,159,283,98,186,"67142"
"G08067280","Salida city, Colorado",4737,1312,1989,5504,1511,2596,5236,1308,2575,"67280"
"G08067445","Salt Creek CDP, Colorado",NA,NA,NA,648,150,260,587,112,263,"67445"
"G08067500","San Acacio CDP, Colorado",NA,NA,NA,NA,NA,NA,40,8,19,"67500"
"G08067830","Sanford town, Colorado",750,193,266,817,205,325,879,208,354,"67830"
"G08068105","San Luis town, Colorado",800,210,328,739,160,322,629,120,254,"68105"
"G08068655","Sawpit town, Colorado",36,21,24,25,11,20,40,9,27,"68655"
"G08068847","Security-Widefield CDP, Colorado",NA,NA,NA,29845,9535,14336,32882,8727,15670,"68847"
"G08068875","Sedalia CDP, Colorado",NA,NA,NA,211,68,118,206,53,97,"68875"
"G08068930","Sedgwick town, Colorado",183,52,81,191,48,83,146,24,63,"68930"
"G08068985","Segundo CDP, Colorado",NA,NA,NA,NA,NA,NA,98,14,39,"68985"
"G08069040","Seibert town, Colorado",181,47,74,180,47,83,181,35,86,"69040"
"G08069110","Seven Hills CDP, Colorado",NA,NA,NA,NA,NA,NA,121,26,58,"69110"
"G08069150","Severance town, Colorado",106,34,53,597,247,325,3165,1105,1748,"69150"
"G08069480","Shaw Heights CDP, Colorado",NA,NA,NA,NA,NA,NA,5116,1426,2435,"69480"
"G08069645","Sheridan city, Colorado",4976,1518,2234,5600,1706,2642,5664,1559,2646,"69645"
"G08069700","Sheridan Lake town, Colorado",95,26,39,66,21,32,88,16,35,"69700"
"G08069810","Sherrelwood CDP, Colorado",16636,5549,8292,17657,5511,8231,18287,5233,8441,"69810"
"G08070195","Silt town, Colorado",1095,391,532,1740,655,920,2930,939,1516,"70195"
"G08070250","Silver Cliff town, Colorado",322,89,154,512,133,238,587,116,270,"70250"
"G08070360","Silver Plume town, Colorado",134,60,79,203,68,120,170,55,100,"70360"
"G08070525","Silverthorne town, Colorado",1768,932,1074,3196,1351,1866,3887,1270,2156,"70525"
"G08070580","Silverton town, Colorado",716,280,384,531,151,336,637,188,364,"70580"
"G08070635","Simla town, Colorado",481,126,172,663,186,271,618,147,270,"70635"
"G08071625","Smeltertown CDP, Colorado",NA,NA,NA,NA,NA,NA,120,31,54,"71625"
"G08071755","Snowmass Village town, Colorado",1449,748,978,1822,758,1214,2826,950,1658,"71755"
"G08071790","Snyder CDP, Colorado",NA,NA,NA,NA,NA,NA,132,24,58,"71790"
"G08072320","Southern Ute CDP, Colorado",NA,NA,NA,NA,NA,NA,177,39,84,"72320"
"G08072395","South Fork town, Colorado",NA,NA,NA,604,148,275,386,70,176,"72395"
"G08073330","Springfield town, Colorado",1475,379,605,1562,345,629,1451,297,584,"73330"
"G08073715","Starkville town, Colorado",104,23,43,128,34,61,59,13,27,"73715"
"G08073825","Steamboat Springs city, Colorado",6695,3239,3893,9815,3932,5975,12088,4082,6937,"73825"
"G08073935","Sterling city, Colorado",10362,2984,4302,11360,2900,4704,14777,4557,7402,"73935"
"G08074080","Stonegate CDP, Colorado",NA,NA,NA,6284,2437,3422,8962,2632,4736,"74080"
"G08074275","Stonewall Gap CDP, Colorado",NA,NA,NA,NA,NA,NA,67,6,28,"74275"
"G08074375","Strasburg CDP, Colorado",NA,NA,NA,1402,410,703,2447,625,1190,"74375"
"G08074430","Stratmoor CDP, Colorado",5854,1922,2651,6650,2163,3032,6900,2237,3483,"74430"
"G08074485","Stratton town, Colorado",649,193,291,669,174,296,658,166,284,"74485"
"G08074815","Sugar City town, Colorado",252,59,101,279,69,132,258,48,119,"74815"
"G08074980","Sugarloaf CDP, Colorado",NA,NA,NA,NA,NA,NA,261,45,144,"74980"
"G08075585","Sunshine CDP, Colorado",NA,NA,NA,NA,NA,NA,230,64,138,"75585"
"G08075640","Superior town, Colorado",255,97,134,9011,4002,5313,12483,4175,6869,"75640"
"G08075970","Swink town, Colorado",584,173,279,696,184,336,617,141,275,"75970"
"G08076190","Tabernash CDP, Colorado",NA,NA,NA,165,78,103,417,148,239,"76190"
"G08076325","Tall Timber CDP, Colorado",NA,NA,NA,NA,NA,NA,208,44,100,"76325"
"G08076795","Telluride town, Colorado",1309,734,880,2221,1130,1550,2325,982,1491,"76795"
"G08077235","The Pinery CDP, Colorado",4885,1788,2713,7253,1895,4002,10517,2299,5283,"77235"
"G08077290","Thornton city, Colorado",55031,21733,27650,82384,29648,43269,118772,38772,60507,"77290"
"G08077510","Timnath town, Colorado",190,70,103,223,80,129,625,173,306,"77510"
"G08077757","Todd Creek CDP, Colorado",NA,NA,NA,1299,439,771,3768,990,2079,"77757"
"G08078280","Towaoc CDP, Colorado",700,211,294,1097,385,481,1087,296,486,"78280"
"G08078335","Towner CDP, Colorado",NA,NA,NA,NA,NA,NA,22,0,12,"78335"
"G08078345","Trail Side CDP, Colorado",NA,NA,NA,NA,NA,NA,59,18,26,"78345"
"G08078610","Trinidad city, Colorado",8580,2123,3250,9078,2199,3865,9096,2023,3980,"78610"
"G08079100","Twin Lakes CDP (Adams County), Colorado",NA,NA,NA,6301,1942,2850,6101,1714,2843,"79100"
"G08079105","Twin Lakes CDP (Lake County), Colorado",NA,NA,NA,NA,NA,NA,171,38,82,"79105"
"G08079270","Two Buttes town, Colorado",63,17,23,67,11,38,43,7,18,"79270"
"G08079785","Upper Bear Creek CDP, Colorado",NA,NA,NA,NA,NA,NA,1059,177,554,"79785"
"G08080040","Vail town, Colorado",3659,1963,2498,4531,2172,3012,5305,2277,3293,"80040"
"G08080095","Valdez CDP, Colorado",NA,NA,NA,NA,NA,NA,47,3,17,"80095"
"G08080370","Valmont CDP, Colorado",NA,NA,NA,NA,NA,NA,59,12,33,"80370"
"G08080755","Vernon CDP, Colorado",NA,NA,NA,NA,NA,NA,29,8,13,"80755"
"G08080865","Victor city, Colorado",258,81,129,445,143,248,397,82,234,"80865"
"G08081030","Vilas town, Colorado",105,25,44,110,24,44,114,28,48,"81030"
"G08081305","Vineland CDP, Colorado",NA,NA,NA,NA,NA,NA,251,63,116,"81305"
"G08081690","Vona town, Colorado",104,33,46,95,22,38,106,19,40,"81690"
"G08082130","Walden town, Colorado",890,280,416,734,187,347,608,135,297,"82130"
"G08082350","Walsenburg city, Colorado",3300,754,1270,4182,1300,1995,3068,555,1284,"82350"
"G08082460","Walsh town, Colorado",692,193,297,723,173,287,546,102,197,"82460"
"G08082735","Ward town, Colorado",159,88,100,169,60,108,150,48,87,"82735"
"G08082905","Watkins CDP, Colorado",NA,NA,NA,NA,NA,NA,653,137,361,"82905"
"G08083120","Welby CDP, Colorado",10218,3545,5105,12973,4328,6369,14846,4734,7265,"83120"
"G08083175","Weldona CDP, Colorado",NA,NA,NA,NA,NA,NA,139,28,68,"83175"
"G08083230","Wellington town, Colorado",1340,518,634,2672,1021,1408,6289,2368,3355,"83230"
"G08083450","Westcliffe town, Colorado",312,84,134,417,97,205,568,174,308,"83450"
"G08083500","Westcreek CDP, Colorado",NA,NA,NA,105,24,62,129,23,67,"83500"
"G08083835","Westminster city, Colorado",74625,31018,40060,100940,36306,54870,106114,32276,55371,"83835"
"G08084000","Weston CDP, Colorado",NA,NA,NA,NA,NA,NA,55,4,20,"84000"
"G08084042","West Pleasant View CDP, Colorado",NA,NA,NA,3932,1370,2109,3840,1182,2019,"84042"
"G08084440","Wheat Ridge city, Colorado",29419,9559,13989,32913,9637,15792,30166,7782,14948,"84440"
"G08084770","Wiggins town, Colorado",499,145,218,838,235,378,893,221,373,"84770"
"G08085045","Wiley town, Colorado",406,118,183,483,164,236,405,95,195,"85045"
"G08085155","Williamsburg town, Colorado",253,70,114,714,220,365,662,126,289,"85155"
"G08085485","Windsor town, Colorado",5062,1779,2334,9896,3472,5182,18644,5204,9291,"85485"
"G08085705","Winter Park town, Colorado",528,267,335,662,291,441,999,395,621,"85705"
"G08085760","Wolcott CDP, Colorado",NA,NA,NA,NA,NA,NA,15,4,11,"85760"
"G08086090","Woodland Park city, Colorado",4610,1956,2548,6515,2144,3648,7200,1599,3642,"86090"
"G08086117","Woodmoor CDP, Colorado",3858,1351,2039,7177,1801,3798,8741,1524,4167,"86117"
"G08086200","Woody Creek CDP, Colorado",NA,NA,NA,NA,NA,NA,263,55,152,"86200"
"G08086310","Wray city, Colorado",1998,536,814,2187,538,907,2342,589,982,"86310"
"G08086475","Yampa town, Colorado",317,108,158,443,127,247,429,103,223,"86475"
"G08086750","Yuma city, Colorado",2719,757,1130,3285,868,1403,3524,907,1522,"86750"
